Name,gender_frac
Camila,1.0
Jennifer,0.9960588544403574
Melanie,0.9978488841086314
Charlotte,1.0
Gianna,1.0
Autumn,1.0
Paige,0.9961664841182913
Faith,0.9980700303280948
Payton,0.7444260941370768
Sara,0.9980533926585095
Isabelle,0.9985994397759104
Caroline,0.9966216216216216
Genesis,0.9785813630041724
Mary,1.0
Isabel,0.998281294757949
Zoey,0.9979704262104958
Gracie,0.9982502187226596
Megan,1.0
Mya,1.0
Michelle,0.996711509715994
Haley,0.9973045822102425
Molly,0.9984957882069796
Stephanie,0.9975918121613486
Nicole,0.9984802431610942
Jenna,1.0
Natalia,1.0
Sadie,1.0
Jada,0.9974691553305916
Serenity,0.9980701190093277
Lucy,1.0
Ruby,0.9983432736911863
Eva,1.0
Kennedy,0.9467094703049759
Rylee,0.904291447977771
Jayla,1.0
Naomi,1.0
Rebecca,0.9975961538461539
Lydia,1.0
Daniela,0.9971448965024983
Bella,0.9982059562253319
Keira,1.0
Adriana,1.0
Lilly,0.9981405727036073
Katie,0.9981252343457068
Hayden,0.3093826299267527
Miley,1.0
Jordan,0.2258532423208191
Jade,0.9731321310268679
Gabriela,1.0
Amy,0.9960768928991761
Angela,0.9968553459119497
Melissa,0.9972244250594766
Valerie,1.0
Giselle,1.0
Diana,0.9963295269168027
Amanda,1.0
Kate,1.0
Laila,1.0
Danielle,0.9966694421315571
Reagan,0.9211746522411128
Kylee,0.992080033347228
Jordyn,0.8867289719626168
Marley,0.8899810964083176
Briana,1.0
Leslie,0.9683333333333334
Catherine,1.0
Kendall,0.8576737272389446
Liliana,1.0
Mckenzie,0.9878840328861964
Jacqueline,0.9977954144620811
Ashlyn,1.0
Reese,0.7893436838390967
Marissa,0.9972451790633609
London,0.8186646433990895
Juliana,1.0
Shelby,0.9662009914375845
Angel,0.1698370655750863
Cheyenne,0.991984912776992
Daisy,0.9975926817525277
Erin,0.9690140845070423
Makenzie,0.9970986460348162
Miranda,1.0
Amber,1.0
Alana,1.0
Ellie,0.9974974974974975
Breanna,1.0
Ana,0.9969340827797649
Summer,1.0
Mikayla,1.0
Piper,0.9973903966597077
Adrianna,1.0
Jillian,1.0
Sierra,1.0
Jayden,0.09929003418353931
Margaret,1.0
Alicia,1.0
Sienna,0.9973161567364466
Lila,1.0
Alivia,1.0
Violet,1.0
Brooklynn,0.9967231021299836
Stella,1.0
Sabrina,1.0
Aniyah,1.0
Karen,0.9972542559033498
Annabelle,1.0
Alexandria,1.0
Kathryn,1.0
Aliyah,1.0
Skylar,0.7674725274725275
Delilah,1.0
Julianna,1.0
Kelsey,0.9811212814645309
Khloe,1.0
Carly,1.0
Amaya,1.0
Mariana,1.0
Christina,1.0
Eliana,1.0
Alondra,1.0
Tessa,1.0
Bianca,1.0
Clara,1.0
Vivian,0.9957472660996355
Jazmin,1.0
Josephine,1.0
Elena,1.0
Delaney,0.9902200488997555
Scarlett,1.0
Cadence,0.9560570071258907
Alexia,1.0
Maggie,1.0
Laura,1.0
Nora,1.0
Ariel,0.7735660847880299
Elise,1.0
Nadia,1.0
Hope,0.996742671009772
Mckenna,1.0
Chelsea,1.0
Lyla,1.0
Alaina,1.0
Jasmin,0.9953580901856764
Leila,1.0
Caitlyn,1.0
Cassidy,0.9574742268041238
Eden,0.8640606767794633
Makenna,1.0
Callie,0.9966009517335146
Haylee,1.0
Izabella,1.0
Allie,0.9952380952380953
Caitlin,1.0
Kendra,1.0
Karina,1.0
Kyra,1.0
Kayleigh,1.0
Addyson,1.0
Jazmine,1.0
Kiara,1.0
Karla,1.0
Camryn,0.8612294583079733
Kyla,1.0
Lola,1.0
Alina,1.0
Kelly,0.9252150893448048
Fatima,1.0
Tiffany,1.0
Kira,1.0
Crystal,1.0
Mallory,1.0
Eleanor,1.0
Esmeralda,1.0
Jayda,1.0
Angelica,1.0
Kara,1.0
Abby,0.9962518740629686
Alejandra,1.0
Veronica,1.0
Carmen,0.9688888888888889
Jamie,0.7820359281437126
Valentina,1.0
Ryleigh,0.9794520547945206
Dakota,0.4403292181069959
Allyson,1.0
Esther,1.0
Kamryn,0.88125
